Timestamp,RR
1656930498.682895,678
1656930499.703877,665
1656930500.662924,673
1656930501.683765,663
1656930502.702911,645
1656930503.663182,656
1656930504.803588,671
1656930505.703406,668
1656930506.663791,705
1656930507.682499,715
1656930508.702549,696
1656930509.663639,715
1656930510.683264,711
1656930511.702906,687
1656930512.662742,689
1656930513.682924,682
1656930514.882827,665
1656930515.663189,677
1656930516.863133,687
1656930517.702949,701
1656930518.662896,713
1656930519.6828,730
1656930520.702383,732
1656930521.663894,746
1656930522.788524,703
1656930523.777633,703
1656930524.768127,700
1656930525.757712,676
1656930526.747097,688
1656930527.738438,678
1656930528.727766,667
1656930529.717581,678
1656930530.707402,697
1656930532.68811,695
1656930532.689116,713
1656930533.677466,697
1656930534.666844,672
1656930535.656766,676
1656930537.142628,665
1656930538.132943,652
1656930539.122296,655
1656930540.113185,655
1656930541.102795,666
1656930542.09239,691
1656930543.082728,691
1656930544.071856,672
1656930545.062529,671
1656930546.052538,662
1656930547.042008,685
1656930548.032048,700
1656930549.021906,713
1656930550.013155,709
1656930551.002647,709
1656930551.992446,676
1656930552.981995,645
1656930553.973101,629
1656930554.96196,618
1656930555.952793,593
1656930556.942458,618
1656930557.932365,619
1656930558.921721,652
1656930559.911939,667
1656930560.901982,667
1656930561.892164,691
1656930562.882965,671
1656930563.871807,675
1656930564.861997,678
1656930565.852955,653
1656930566.842009,657
1656930567.833042,650
1656930568.822913,641
1656930569.81235,674
1656930570.802944,687
1656930571.793412,680
1656930572.782149,680
1656930573.772569,649
1656930574.7622,652
1656930575.751904,637
1656930576.741914,635
1656930577.73248,653
1656930578.721857,642
1656930579.712339,664
1656930581.691876,643
1656930581.692669,620
1656930583.671928,610
1656930583.671928,628
1656930584.661989,631
1656930585.652655,635
1656930587.137723,645
1656930588.126155,690
1656930589.116662,692
1656930591.096614,691
1656930591.096614,711
1656930592.087675,722
1656930593.077675,678
1656930594.06695,676
1656930595.056994,627
1656930596.047177,611
1656930597.037662,604
1656930598.026989,596
1656930599.01696,613
1656930600.006519,646
1656930600.997564,648
1656930601.986442,651
1656930602.976547,664
1656930603.967517,655
1656930604.956504,654
1656930605.947518,637
1656930606.937476,625
1656930607.925771,600
1656930608.917952,581
1656930609.907225,577
1656930610.897448,632
1656930611.886448,624
1656930612.876372,667
1656930613.866404,674
1656930615.847398,669
1656930615.84836,683
1656930616.836664,695
1656930617.825918,680
1656930618.817351,681
1656930619.807318,667
1656930620.796333,655
1656930621.787285,659
1656930622.777189,666
1656930623.767226,674
1656930624.756211,690
1656930625.746289,680
1656930626.737237,675
1656930627.727236,676
1656930628.717229,645
1656930629.706654,637
1656930631.687208,653
1656930631.688169,651
1656930633.666496,656
1656930633.666496,701
1656930634.657121,730
1656930636.141959,696
1656930637.131017,690
1656930638.12122,703
1656930639.111146,685
1656930640.102011,679
1656930642.081465,672
1656930642.57704,629
1656930643.070952,633
1656930644.060907,660
1656930645.050988,664
1656930646.041282,741
1656930647.03201,812
1656930648.020973,782
1656930649.012022,805
1656930650.000984,788
1656930650.990899,715
1656930651.980871,711
1656930652.970887,665
1656930653.960853,644
1656930654.950907,650
1656930655.941792,657
1656930656.930941,692
1656930657.922344,721
1656930659.40625,696
1656930659.90131,710
1656930660.89092,730
1656930661.880889,703
1656930662.870892,733
1656930663.860776,738
1656930664.850954,711
1656930665.841262,712
1656930667.820855,721
1656930667.821929,703
1656930668.810769,717
1656930669.802133,742
1656930670.790901,721
1656930671.780883,728
1656930672.771236,763
1656930673.760798,728
1656930674.750663,753
1656930675.740654,762
1656930676.730869,707
1656930677.720764,673
1656930678.710885,672
1656930679.700947,674
1656930681.680682,712
1656930681.680682,747
1656930682.670724,767
1656930683.660549,761
1656930685.145541,772
1656930686.135882,727
1656930687.126538,718
1656930688.117325,688
1656930689.104977,710
1656930690.09646,717
1656930691.08542,729
1656930692.570879,756
1656930693.066407,753
1656930694.055664,726
1656930695.045467,716
1656930696.035516,706
1656930697.520932,735
1656930698.016018,752
1656930699.005589,705
1656930699.99561,717
1656930700.985297,721
1656930701.976082,709
1656930702.966414,708
1656930703.955979,731
1656930704.946526,714
1656930705.936252,709
1656930706.926237,784
1656930707.916236,784
1656930708.906214,744
1656930709.895234,734
1656930710.885744,731
1656930711.875347,704
1656930712.865036,726
1656930713.854779,692
1656930714.846129,689
1656930715.835143,662
1656930716.826132,687
1656930717.816177,675
1656930718.805077,748
1656930719.795376,761
1656930720.784377,728
1656930721.774951,726
1656930722.765228,713
1656930723.755351,704
1656930724.745407,724
1656930725.735319,720
1656930726.72513,702
1656930727.715738,708
1656930728.705996,693
1656930730.68493,668
1656930730.685732,668
1656930732.665017,661
1656930732.665017,704
1656930733.654625,717
1656930735.140917,708
1656930736.129702,740
1656930737.119548,729
1656930738.110065,687
1656930739.100045,696
1656930740.089818,677
1656930741.07979,661
1656930743.060835,660
1656930743.061797,664
1656930744.04984,658
1656930745.039857,674
1656930746.029404,677
1656930747.020725,664
1656930748.010718,661
1656930749.000803,672
1656930749.989872,651
1656930750.979819,668
1656930751.969807,683
1656930752.960692,664
